stock1, stock2, p_value
PLSANWL00012, PLTIM0000016, 2.7001321338360345e-10
PLDGA0000019, PLKRINK00014, 2.763654328648013e-10
LU0122624777, PLELPO000016, 2.8601707447060917e-10
LU0122624777, PLTRFRM00018, 2.9051913189495425e-10
EE3100099391, PLECMNG00019, 3.0628209470097786e-10
LU0122624777, PLWRWCK00013, 3.1763409335390754e-10
PLGSPR000014, PLSARE000013, 3.374699897170222e-10
PLECHPS00019, PLHELIO00014, 3.897157932274929e-10
PLSTLPF00012, PLZTKMA00017, 4.188249710764691e-10
PLMSTSD00019, PLPONAR00012, 4.253973194594794e-10
HU0000089198, PLZEPAK00012, 4.644641688786873e-10
PLINCLT00015, PLZSTAL00012, 4.701436401136865e-10
LU0122624777, PLBZ00000044, 4.718932749636652e-10
PLKMPTR00012, PLMRVPL00016, 4.772900074849425e-10
PLIDMSA00044, PLUNMST00014, 4.877531450867082e-10
LU0122624777, PLESTHN00018, 5.135528861915299e-10
NL0011882741, PLKLSTN00017, 5.14820051588762e-10
PLSTPRK00019, PLTRCZN00016, 5.150154100506513e-10
PLKOMPP00017, PLTIM0000016, 5.161382558994579e-10
PLKMPTR00012, PLTRKPL00014, 5.258926986795815e-10
PLELEKT00016, PLREMAK00016, 5.266027191623946e-10
LU0122624777, PLBRE0000012, 5.379115571253491e-10
PLELEKT00016, PLKRINK00014, 5.568833694842457e-10
PLCNTSL00014, PLLSSFT00016, 5.652810117282194e-10
PLSTLSK00016, PLZRWZW00012, 5.694625108133045e-10
PLKMPTR00012, PLPWRMD00011, 6.010962445316004e-10
PLINTBD00014, PLWOJAS00014, 6.065714838490731e-10
NL0009508712, PLCMRAY00029, 6.773544417913388e-10
LU0122624777, PLDMDVL00012, 6.840808663763054e-10
AT0000827209, PLBH00000012, 7.030303251325591e-10
PLCMPLD00016, PLERTEL00011, 7.065316567551599e-10
PLCNTSL00014, PLUNMST00014, 7.173199644429613e-10
PLDGA0000019, PLERBUD00012, 7.290447403681968e-10
PLBAUMA00017, PLMKRNP00015, 7.374251357797136e-10
NL0011882741, PLIZCJR00017, 7.684719798524579e-10
PLKMPTR00012, PLSONEL00011, 7.958185767265918e-10
PLTELL000023, PLXPLUS00013, 8.108754971777545e-10
PLBAUMA00017, PLHELIO00014, 8.167246038954179e-10
LU0122624777, PLBGZ0000010, 8.617230289338585e-10
PLFAMUR00012, PLZRWZW00012, 8.957592857532266e-10
PLFERUM00014, PLLSSFT00016, 9.192355528188132e-10
PLSTLPF00012, PLTRFRM00018, 9.335927091012817e-10
PLELEKT00016, PLMUZA000019, 9.57700011883373e-10
PLRESBD00032, PLTLKPL00017, 9.828826862112893e-10
PLCMRAY00029, PLFEERM00018, 1.0395170924280867e-09
LU0122624777, PLMSTWS00019, 1.0559393488813954e-09
PLSTLSK00016, PLWRWCK00013, 1.0563034750512623e-09
EE3100099391, HU0000089198, 1.064037213796339e-09
